"Project Title","Project Acronym","Project Description","Project ID","Finance Project Code","Finance Unit Code",Status,"Lockdown Status","Success Status","Assigned To","Duration (Years)","Project Dates Start","Project Dates End","Proposed End Date","Project Type","Project Activity Type",Tags,Funder,Scheme,"HESA Funder Category","VAT Code","VAT Review Complete?",Opportunity,"Name of Call","Sub-section of Call","URL of Call","URL of Sub-section","Funder Deadline","Award Ceiling","Bid Submitted Date","Supplement Submitted Date","Auto Progress Date","Bid Awarded Date","Supplement Awarded Date","Project Lead",Co-Investigator(s),"Other Editors",Visibility,"View Access","Lead Organisation","Paid via Lead Organisation",Collaborator(s),Subawardee(s),Partner(s),"Other Organisation(s)","Lead Subproject","Other Subprojects","All Subprojects","Lead Org Unit","Other Org Units","All Org Units","Lead Department","NHS Involvement","NHS Reference","Research Areas",Themes,"Research Centres/Groups",Countries,"Pre-award Liaison","Post-award Liaison",Portfolio,"Portfolio Group","Business Liaison","International Development Office Project","Project Phase","Supplementary T&Cs?","Supplementary T&C Details","Bid Restrictions?","Bid Restriction Details","Sponsor Data Retention Limit","Peer Review","Peer Review Notes","Willing to Peer Review Others","Project SharePoint Link","Ethics Implications","Resource Implications","Resource Implication Details","Rationale for Application to this Funder","Related Project(s)","Corporation Tax","Use Bid as a Learning Tool","Transferred In","Transferred In Date","Transferred From","Transferred Out","Transferred Out Date","Transferred To",Retrospective,"HESA Cost Centre","Funder Award Reference","Income Method","Unit of Assessment","HEBCI Main","HEBCI Sub","Material Code","Approved Date","Success Probability %","Lessons Learned Review Completed","Final Report Submitted","Location of Archived Hardcopy","Data Verification Override",Notes,"Price to Funder at Submit","Price to Funder","Cost to HEI at Submit","Cost to HEI","Cost to Funder at Submit","Cost to Funder","Surplus / -Deficit","% Recovery","Marginal Surplus / -Deficit","Marginal % Recovery","Contribution to Overheads","% Contribution to Overheads","Directly Incurred Expenditure Budget","Expenditure Budget","Actual Spend","Expenditure Balance","Committed Spend","Available Balance","Directly Incurred Costs","Directly Incurred Costs (ex Partner Costs)","Directly Incurred Expenditure Budget (ex Partner Costs)","Expenditure Budget (ex Partner Costs)","Actual Spend (ex Partner Costs)","Expenditure Balance (ex Partner Costs)","Committed Spend (ex Partner Costs)","Available Balance (ex Partner Costs)","Directly Incurred Non Staff Costs (ex Partner Costs)","Consumables Cost to HEI","Equipment Cost to HEI","Directly Allocated Costs","Directly Allocated Staff Costs","Estates Costs","Technician Costs","Indirect Costs","Exceptions Costs","Price to Funder (ex Partner Costs)","Price to Funder at Submit (ex Partner Costs)","Cost to HEI (ex Partner Costs)","Cost to HEI at Submit (ex Partner Costs)","Cost to Funder (ex Partner Costs)","Cost to Funder at Submit (ex Partner Costs)","Surplus / -Deficit (ex Partner Costs)","% Recovery (ex Partner Costs)","Marginal Surplus / -Deficit (ex Partner Costs)","Marginal % Recovery (ex Partner Costs)","Contribution to Overheads (ex Partner Costs)","% Contribution to Overheads (ex Partner Costs)",Updated,"Milestone Template","Public Status","Public URL",Created,"Created By","Last Event Date"
"Who gets charged? A multidisciplinary analysis of NHS charges for overseas visit",,"Who gets charged? A multidisciplinary analysis of NHS charges for overseas visit",453972,,,"Bid Awaiting Response",Locked,Pending,"Pre-award Admin",3,2024-01-01,2026-12-31,,"RO - Standard Research",Research,,"ESRC ESRC (ECON & SOC RES COUNCIL)","ESRC Default Scheme","Research Councils - ESRC","Y6 Income - Outside the Scope",,,"ESRC research grant",,https://www.ukri.org/opportunity/esrc-research-grant/,,,1000000.00,"2023-04-25 16:11",,"2024-04-24 00:00",,,"Pierre Monforte (PM260)","Bernard Ryan (BR85)",,"Only people involved in this project",,,Yes,,,,,"SS/MC: Sociology","SS/LL: Law","SS/LL: Law,SS/MC: Sociology","SS/MC: Sociology","SS/LL: Law","SS/LL: Law,SS/MC: Sociology",,No,,,,"99 - Not Applicable for Institute reporting",,"Sara Mounteney (SLM81)",,"Pre-award Admin (Bid Development)","Pre-award Admin",,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,"2023-04-25 08:44",,,,,,,728491.93,728491.93,942475.06,942475.06,910614.91,910614.91,-213983.14,77.3,424905.12,58.33,182965.66,25.12,281346.64,910614.91,0.00,910614.91,0.00,910614.91,303586.81,303586.81,281346.64,910614.91,0.00,910614.91,0.00,910614.91,47646.00,0.00,0.00,287137.46,241939.46,45198.00,0.00,351750.80,0.00,728491.93,728491.93,942475.06,942475.06,910614.91,910614.91,-213983.14,77.3,424905.12,58.33,182965.66,25.12,"2023-10-04 17:50:43",,Discoverable,,"2023-01-09 15:45:40","Sara Mounteney (SLM81)","2023-10-04 17:50"
"Public Perceptions of Minorities in the UK in the Aftermath of the COVID-19 Pandemic",,"Public Perceptions of Minorities in the UK in the Aftermath of the COVID-19 Pandemic - RS30G0205",452737,,,"Bid Unsuccessful",Locked,Unsuccessful,"Lauren McLaren (LM434),Neil Chakraborti (NAC5),Panayiota Tsatsou (PT133),Pre-award Admin,Yimei Zhu (YZ411)",2,2023-09-01,2025-02-28,,"RO - Standard Research",Research,,"ESRC ESRC (ECON & SOC RES COUNCIL)","ESRC Default Scheme","Research Councils - ESRC","Y6 Income - Outside the Scope",,,"ESRC Research Grant",,https://www.ukri.org/opportunity/esrc-research-grant/,,,1000000.00,"2023-01-16 17:10",,"2024-01-16 00:00",,,"Lauren McLaren (LM434)","Neil Chakraborti (NAC5),Panayiota Tsatsou (PT133),Yimei Zhu (YZ411)",,"Only people involved in this project",,,Yes,,,,,"SS/HP: Politics & International Relation","Criminology,Media and Communication","Criminology,Media and Communication,SS/HP: Politics & International Relation","SS/HP: Politics & International Relation","SS/CR: Criminology,SS/MC: Media & Communication","SS/CR: Criminology,SS/HP: Politics & International Relation,SS/MC: Media & Communication",,,,,,"99 - Not Applicable for Institute reporting",,,,"Pre-award Admin (Bid Development)","Pre-award Admin",,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,"2023-01-27 12:56",,,,,,"Reported in SAP GM - RS30G0205",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,"2023-10-04 17:49:22",,Discoverable,,"2022-12-16 09:04:27","Ellen Puurman (EP258)","2023-10-04 17:49"
"NUBICOS: New Users for Better ICOS",NUBICOS,"In this project we work with new users for ICOS data from satellite and modelling communities and prepare products for policymakers. We are improving sustainability of ICOS by streamlining the data pipelines and strengthening the community engagement including new members. In addition to data, ICOS is producing protocols and processes, which are now needed for the global GHG initiative thus strengthening the European leadership in it.",486235,,,"Award Setup",,Successful,"Pre-award Admin",5,2024-03-01,2028-03-01,,"RO - Standard Research",Research,,"IFS HEG Innovate UK - Horizon Europe Guarantee","IFS HEG Default Scheme","UK Central Government","Y6 Income - Outside the Scope",,,"Developing, consolidating and optimising the European research infrastructures landscape, maintaining global leadership (2023) (HORIZON-INFRA-2023-DEV-01)",,"https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topicdetails/ horizon-infra-2023-dev-01-03",,"2023-03-09 16:00",,"2023-03-09 16:00",,"2024-03-09 00:00",2023-07-10,,"Darren Ghent (DJG20)",,"Sophie Bricknell (SLB94)","Only people involved in this project",,"Partner not Listed",Yes,,,,,"SE/PA: National Centre for Earth Obs'",,"SE/PA: National Centre for Earth Obs'","SE/PA: National Centre for Earth Obs'",,"SE/PA: National Centre for Earth Obs'",,,,,,,,"Sue Atkinson (SAM45)",,"Pre-award Admin (Bid Development)","Pre-award Admin",,,,,,,,,,,,,,No,,,,,,,,,,,,,,101130676,,,,,,"2023-03-09 09:49",,,,,,"Bid development. No budget yet as I first need help to provide our cost per man month  to the coordinator",72344.78,72344.78,148931.87,146085.26,90430.97,90430.97,-73740.48,49.52,2583.52,3.57,2583.52,3.57,72344.78,90430.97,0.00,90430.97,0.00,90430.97,69761.26,69761.26,72344.78,90430.97,0.00,90430.97,0.00,90430.97,1923.00,0.00,0.00,19590.00,0.00,17481.00,2109.00,56734.00,0.00,72344.78,72344.78,146085.26,148931.87,90430.97,90430.97,-73740.48,49.52,2583.52,3.57,2583.52,3.57,"2023-10-04 16:42:08",,Discoverable,,"2023-02-08 10:55:30","Darren Ghent (DJG20)","2023-10-04 16:42"
"Management behaviours to support functional presenteeism",,,627325,,,"Bid Development",,Pending,"Maria Karanika-Murray (MK780),Pre-award Admin",2,2024-09-01,2026-02-28,,"RO - Standard Research",Research,,"The Colt Foundation","The Colt Foundation Default Scheme","UK Charities (Open Competition & External Peer Review)","Y6 Income - Outside the Scope",,,,,https://www.coltfoundation.org.uk/project-grants/,,"2023-11-14 15:25",,,,,,,"Maria Karanika-Murray (MK780)",,,"Only people involved in this project",,,Yes,,,,,"SS/BU: Work, Emp, M'ment & Org, Dept",,"SS/BU: Work, Emp, M'ment & Org, Dept","SS/BU: Work, Emp, M'ment & Org, Dept",,"SS/BU: Work, Emp, M'ment & Org, Dept",,,,,,,,,,"Pre-award Admin (Bid Development)","Pre-award Admin",,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,84475.65,,190908.79,,84475.65,-106433.14,44.25,-262.14,-0.31,-7195.94,-8.52,84475.65,84475.65,0.00,84475.65,0.00,84475.65,84737.80,84737.80,84475.65,84475.65,0.00,84475.65,0.00,84475.65,15000.00,0.00,0.00,18233.30,6933.80,11299.50,0.00,87937.70,0.00,84475.65,,190908.79,,84475.65,,-106433.14,44.25,-262.14,-0.31,-7195.94,-8.52,"2023-10-04 15:26:24",,Private,,"2023-10-04 15:23:49","Maria Karanika-Murray (MK780)","2023-10-18 10:25"
"Process and Outcome Evaluation of the Community Leadership Programme",,,499055,RS301W499055,,"Project Complete",Locked,Successful,"Post-award Admin",1,2023-02-27,2023-08-31,,"RO - Standard Research",Research,,"The Police and Crime Commissioner for Leicestershire","The Police and Crime Commissioner for Leicestershire Default Scheme","UK Local Government","T2 - 20% VAT on Expenditure fully recoverable,YS Income - Standard Rated 20% VAT",,,,,,,"2023-01-27 08:15",15000.00,"2023-05-19 08:54",,"2024-05-18 00:00",2023-05-19,,"Jessica Urwin (JAU4)",,,"Only people involved in this project",,,Yes,,,,,"SS/CR: Criminology",,"SS/CR: Criminology","SS/CR: Criminology",,"SS/CR: Criminology",,,,,,"99 - Not Applicable for Institute reporting",,"Laura Flavell (LF211)","Daksha Patel (DP230)","Post-award Admin (Project Setup)","Post-award Admin",,,,,,,,,,,,,,No,,,,,,,,,,,,,"Social work & social policy",SSD918,"15 - Invoice to be Raised - Fixed Price",,"Contract Research","Non Commercial Client",,"2023-05-18 13:03",,,,,,,14999.99,15000.00,12187.38,12187.38,12168.84,15000.00,2812.62,123.08,11968.09,79.79,8361.36,55.74,4029.55,15000.00,13318.55,1681.45,0.00,1681.45,3031.91,3031.91,4029.55,15000.00,13318.55,1681.45,0.00,1681.45,1680.00,1680.00,0.00,4238.53,3606.73,631.80,0.00,4916.95,0.00,15000.00,14999.99,12187.38,12187.38,15000.00,12168.84,2812.62,123.08,11968.09,79.79,8361.36,55.74,"2023-10-04 13:59:45",,Discoverable,,"2023-02-16 08:10:07","Jessica Urwin (JAU4)","2023-10-04 13:59"
"Ultra-layered perception with brain-inspired information processing for vehicle collision avoidance (ULTRACEPT)",ULTRACEPT,"This is the existing EU Horizon 2020 project ULTRACEPT transferred to Leicester from Lincoln. 
The project started 1 Dec 2018 is to end 30 Sept 2024. 
ULEIC has taken over as the coordinator as of 15 June 2023.
Lincoln remains on the project.

Subcontract to be issued for Lincoln's project manager Colleen Mitchell  to continue the project manager role.


The primary objective of this project is to develop a trustworthy vehicle collision detection system inspired by animals’ visual brain via trans-institutional collaboration.  Processing multiple modalities sensor data inputs, such as vision and thermal maps with innovative visual brain-inspired algorithms, the project will embrace multidisciplinary and cross-continental academia and industry cooperation in the field of bio-inspired visual neural systems via neural physiological experiments, software simulation, hardware realisation and system integration.  The innovative brain-inspired collision detection system has the advantages of low-cost spatial-temporal and parallel computing capacity of visual neural systems and can be realised in chips specifically for collision detection, both in normal and in complex and/or in extreme environments.

This project brings together 18 world-class research teams and European SMEs each with specialised expertise:

invertebrate visual neuroscientists (UNEW and UBA on the locust and crab),
invertebrate vision modellers (UoL),
cognitive neural system modellers (XJTU, GZHU and GZU),
mixed-signal VLSI chip designers (TU),
experts in hardware/software systems and robotics (UHAM, HUST, TUAT, LNU),
robotics platform provider and market explorer (VISO, DINO),
image signal processing (UPM, NWU), and
brain-inspired pattern recognition expert (CASIA, WWU).
The specifically designed research staff secondments, joint workshops and conferences, will facilitate knowledge transfer between partners and generate significant impact in vehicle collision avoidance research with applications to not only on road safety, but also to other applications such as mobile robots, health care and the video games industry.

The project will cultivate concrete research connections between institutions in Europe, the Far East and South America, and will significantly enhance the leadership of the European Institutions in this emerging research field.

The European SMEs will have opportunities to access world-leading expertise in research and development and position themselves well as a market leader in automatic collision detection sensor and systems, which in turn also help to expand its market share in intelligent sensor systems.",571324,,,"Bid Development",,Pending,"Anna Kardas (AM565),Pre-award Admin,Shigang Yue (SY237)",2,2023-06-15,2024-09-30,,"RO - Standard Research",Research,,"CEC CEC","CEC Default Scheme","EU Government Bodies (inc European Commission but not UK)","Y6 Income - Outside the Scope",,,H2020-MSCA-RISE-2017,,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/msca-rise-2017,,,,,,,,,"Shigang Yue (SY237)",,"Anna Kardas (AM565)","Only people involved in this project",,,Yes,,,,,"SE/CM: Computing Sciences",,"SE/CM: Computing Sciences","SE/CM: Computing Sciences",,"SE/CM: Computing Sciences",,,,,,,,"Anna Kardas (AM565)",,"Pre-award Admin (Bid Development)","Pre-award Admin",,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,0.00,,0.00,0,0.00,0,0.00,0,"2023-10-04 12:56:54",,Discoverable,,"2023-06-21 18:11:49","Shigang Yue (SY237)","2023-10-13 10:21"
"UKSA Bahrain CO2 Bilateral Phase 2",,,626819,,,"Bid Development",,Pending,"Joshua Vande Hey (JVH7),Pre-award Admin,Stephen Wright (SJW140),Tim Trent (TJT11)",2,2024-03-01,2025-03-31,,"RO - Standard Research",Research,,"UKSA UK Space Agency","UK SPACE AGENCY Default Scheme","UK Central Government","Y6 Income - Outside the Scope",,,"Bilateral Phase 2",,,,,,,,,,,"Joshua Vande Hey (JVH7)","Tim Trent (TJT11)","Stephen Wright (SJW140)","Only people involved in this project",,,Yes,,,,,"SE/PA: Earth Observation Science",,"SE/PA: Earth Observation Science","SE/PA: Earth Observation Science",,"SE/PA: Earth Observation Science",,,,,,,,,,"Pre-award Admin (Bid Development)","Pre-award Admin",,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,0.00,,0.00,0,0.00,0,0.00,0,"2023-10-04 12:15:56",,Private,,"2023-10-04 09:56:49","Joshua Vande Hey (JVH7)","2023-10-04 12:15"
"Co-design and evaluation of an intervention to increase UPTake of pUlmonary RehabilitatioN for people living with COPD: The UPTURN Study",UPTURN,"Co-design and evaluation of an intervention to increase UPTake of pUlmonary RehabilitatioN for people living with COPD: The UPTURN Study

Led by Cambridge NHS",480133,,,"Award Setup",,Successful,"Pre-award Admin",5,2023-06-01,2028-05-31,,"RO - Standard Research",Research,,"NIHR National Institute of Health Research","Programme Grants for Applied Research (PGfAR)","UK Central Government","Y6 Income - Outside the Scope",,,,,,,,,"2023-02-02 16:35",,"2024-02-02 00:00",2023-02-02,,"Suman Prinjha (SBP16)","Sally Singh (SS1119)",,"Only people involved in this project",,"Cambridge University Hospitals NHS Foundation Trust",Yes,,,,,"LS/HS: Population Health Sciences","LS/HS: Diabetes,LS/HS: Respiratory","LS/HS: Diabetes,LS/HS: Population Health Sciences,LS/HS: Respiratory","LS/HS: Population Health Sciences","LS/HS: Diabetes,LS: Respiratory Sciences","LS/HS: Diabetes,LS/HS: Population Health Sciences,LS: Respiratory Sciences",,,,,,"99 - Not Applicable for Institute reporting",,"Thomas Barson (TB199)",,"Pre-award Admin (Bid Development)","Pre-award Admin",,,,,,,,,,,,,,No,,,,,,,,,,,,,,TBC,,,"Not Applicable for HEBCI","Not applicable for HEBCI",,"2023-02-02 16:35",,,,,,"RM65G0349 on SAPGM.",0.00,657467.22,0.00,1670655.12,0.00,717253.73,-1013187.90,39.35,-15020.92,-2.28,-112925.50,-17.18,625262.28,717253.73,0.00,717253.73,0.00,717253.73,672488.14,672488.14,625262.28,717253.73,0.00,717253.73,0.00,717253.73,0.00,0.00,0.00,212401.07,97904.57,112176.60,2319.90,785765.90,0.00,657467.22,0.00,1670655.12,0.00,717253.73,0.00,-1013187.90,39.35,-15020.92,-2.28,-112925.50,-17.18,"2023-10-04 12:00:44",,Discoverable,,"2023-02-02 16:28:45","Thomas Barson (TB199)","2023-10-04 12:03"
"Harnessing the benefits inflammation to better understand poor kidney function and muscle weakness",,"This application does not require a abstract so have uploaded the application as a document.  

Note -  it is in lay format as the panel for this call is a patient only panel.",545459,RM63W545459,,"Project Live",Locked,Successful,"Donald Jones (DJLJ1),Luke Baker (LAB69),Post-award Admin,Pre-award Admin",1,2023-10-01,2024-09-30,,"RO - Standard Research",Research,,"LEICESTER HOSPITALS Leicester Hospitals Charity","LEICESTER HOSPITALS Default Scheme","UK Charities (Other Process)","T3 - 20% VAT on Expenditure - not recoverable,Y6 Income - Outside the Scope",,,"Kidney Care Appeal 2023",,,,"2023-05-22 13:10",10000.00,"2023-07-12 14:53",,"2024-07-11 00:00",2023-07-12,,"Luke Baker (LAB69)","Donald Jones (DJLJ1)",,"Only people involved in this project",,,Yes,,,,,"LS: Respiratory Sciences","LS/GG: Cancer Research Centre","LS/GG: Cancer Research Centre,LS: Respiratory Sciences","LS: Respiratory Sciences","LS/GG: Cancer Research Centre","LS/GG: Cancer Research Centre,LS: Respiratory Sciences",,,,,,"99 - Not Applicable for Institute reporting","UNITED KINGDOM","Janet Harris (JH68)","Wahid Amiry (WA108)","Post-award Admin (Project Setup)","Post-award Admin",,,,,,,,,,,,,,No,,,,,,,,,,,,,"Clinical medicine","grant applications 2023","14 - Invoice to be Raised - Actual Costs",,"Not Applicable for HEBCI","Not applicable for HEBCI",,"2023-07-12 14:04",,,,,,"Application by email to KCAApplications@uhl-tr.nhs.uk by 12:00 on 22.05.23",8600.00,8600.00,46825.48,46825.48,8600.00,8600.00,-38225.48,18.37,0.00,0,-19144.48,-222.61,8600.00,8600.00,0.00,8600.00,0.00,8600.00,8600.00,8600.00,8600.00,8600.00,0.00,8600.00,0.00,8600.00,8600.00,8600.00,0.00,24041.98,19144.48,4370.25,527.25,14183.50,0.00,8600.00,8600.00,46825.48,46825.48,8600.00,8600.00,-38225.48,18.37,0.00,0,-19144.48,-222.61,"2023-10-04 11:20:56",,Discoverable,,"2023-05-02 13:11:15","Luke Baker (LAB69)","2023-10-04 11:20"
"Uncertainty in healthcare: a qualitative study of patients' and clinicians' ....",,,455481,RM62G0902,,"Supplement Development",,Successful,"Christopher Williams (CDW4),Pre-award Admin",3,2021-07-01,2024-02-28,,"RO - Standard Research",Research,"Legacy Project","DUNHILL MED TRUST The Dunhill Medical Trust",,"UK Charities (Open Competition & External Peer Review)",,,,,,,,,,"2018-09-03 00:00",,,2019-05-24,,"Christopher Williams (CDW4)",,,"Only people involved in this project",,,Yes,,,,,"Uncertainty in healthcare: a qualitative study of patients' and clinicians' ....",,"Uncertainty in healthcare: a qualitative study of patients' and clinicians' ....","LS: Medicine",,"LS: Medicine",,,,,,"99 - Not Applicable for Institute reporting",,,,"Pre-award Admin (Supplement Development)","Pre-award Admin",,,,,,,,,,,,,,,,,,,,,,,,,,,,RPG01902\14,,,,,,,,,,,,,0.00,135008.81,0.00,293671.63,0.00,135008.81,-158662.82,45.97,-3157.99,-2.34,-41491.31,-30.73,135008.81,135008.81,232848.13,-97839.32,0.00,-97839.32,138166.80,138166.80,135008.81,135008.81,232848.13,-97839.32,0.00,-97839.32,12886.25,0.00,1126.25,50730.28,38333.32,12396.96,0.00,104774.55,0.00,135008.81,0.00,293671.63,0.00,135008.81,0.00,-158662.82,45.97,-3157.99,-2.34,-41491.31,-30.73,"2023-10-04 11:11:35",,Discoverable,,"2023-01-16 15:53:51","David Downton (dd22)","2023-10-04 11:21"
"Understanding the role of resolution physiology in the sarcopenic phenotype",,"MyAge network secondment application to facilitate Dr Baker or his team conducting a 3 week secondment at QMUL in order to develop techniques and run assays on biological samples.",606713,RM63W606713,,"Project Live",Locked,Successful,"Luke Baker (LAB69),Post-award Admin,Pre-award Admin",1,2023-09-01,2023-12-02,,"RO - Standard Research",Research,,"BBSRC BBSRC BIOTECH.& BIOLOG.SCIENCE","BBSRC Default Scheme","Research Councils - BBSRC","T3 - 20% VAT on Expenditure - not recoverable,Y6 Income - Outside the Scope",,,"MyAge Network Fund",,https://www.ukanet.org.uk/myage/,,"2023-01-27 15:20",,"2023-02-17 09:15",,"2024-02-17 00:00",2023-02-17,,"Luke Baker (LAB69)",,,"Only people involved in this project",,"University of Southampton",Yes,,,,,"LS: Respiratory Sciences",,"LS: Respiratory Sciences","LS: Respiratory Sciences",,"LS: Respiratory Sciences",,,,,,"99 - Not Applicable for Institute reporting",,,"Wahid Amiry (WA108)","Post-award Admin (Project Setup)","Post-award Admin",,,,,,,,,,,,,,No,,,,,,,,,,,,,"Clinical medicine","MyAge Network","14 - Invoice to be Raised - Actual Costs",,,,,"2023-08-30 19:40",,,,,,"Application already accepted by my age, both application and confirmation letter attached here.",3680.00,3680.00,3680.00,3680.00,3680.00,3680.00,0.00,100,0.00,0,0.00,0,3680.00,3680.00,0.00,3680.00,0.00,3680.00,3680.00,3680.00,3680.00,3680.00,0.00,3680.00,0.00,3680.00,3680.00,680.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3680.00,3680.00,3680.00,3680.00,3680.00,3680.00,0.00,100,0.00,0,0.00,0,"2023-10-04 11:00:27",,Discoverable,,"2023-08-30 14:37:31","Luke Baker (LAB69)","2023-10-04 11:00"
"Dance in the History of Africa Network",,,515998,,,"Bid Unsuccessful",Locked,Unsuccessful,"Pre-award Admin,Zoe Groves (ZRG3)",2,2024-01-01,2025-12-31,,"RO - Standard Research",Research,,"AHRC Arts & Humanities Research Council","AHRC Default Scheme","Research Councils - AHRC","Y6 Income - Outside the Scope",,,"AHRC Research Network grant",,https://www.ukri.org/opportunity/ahrc-research-networking-scheme/,,"2023-06-29 16:00",45000.00,"2023-06-23 10:59",,"2024-06-22 00:00",,,"Zoe Groves (ZRG3)",,,"People involved in this project and ...","Rosemary Sweet (RHS4)",,Yes,,,"Dance Studies Association,FAE Studios Ltd,Wits Institute for Social and Economic Research, University of the Witwatersrand",,"SS/HP: History",,"SS/HP: History","SS/HP: History",,"SS/HP: History",,,,,,"99 - Not Applicable for Institute reporting","SOUTH AFRICA,UNITED STATES","Ellen Puurman (EP258)",,"Pre-award Admin (Bid Development)","Pre-award Admin",,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,"2023-06-22 10:41",,,,,,,35854.44,35854.44,45612.23,45612.23,44818.05,44818.05,-9757.78,78.61,5657.60,15.78,-2928.56,-8.17,29966.39,44818.05,0.00,44818.05,0.00,44818.05,30196.85,30196.85,29966.39,44818.05,0.00,44818.05,0.00,44818.05,26750.00,0.00,0.00,9363.75,8586.15,777.60,0.00,6051.63,0.00,35854.44,35854.44,45612.23,45612.23,44818.05,44818.05,-9757.78,78.61,5657.60,15.78,-2928.56,-8.17,"2023-10-04 10:06:56",,Discoverable,,"2023-03-08 14:48:11","Zoe Groves (ZRG3)","2023-10-04 10:06"
"TWINE Wetlands",,,603485,,,"Bid Awaiting Response",Locked,Pending,"Pre-award Admin",2,2024-01-01,2025-03-31,,"RO - Standard Research",Research,,"UKRI UK Research and Innovation UKRI","UKRI Default Scheme","Research Councils - UKRI","Y6 Income - Outside the Scope",,,"TWINE demonstrators: digital twins for environmental science",,https://www.ukri.org/opportunity/twine-demonstrators-digital-twins-for-environmental-science/,,"2023-10-03 16:00",,"2023-10-03 10:05",,"2024-10-02 00:00",,,"Robert Parker (RJP23)",,"Sophie Bricknell (SLB94)","Only people involved in this project",,"UK CENTRE FOR ECOLOGY & HYDROLOGY",Yes,,,,,"SE/PA: National Centre for Earth Obs'",,"SE/PA: National Centre for Earth Obs'","SE/PA: National Centre for Earth Obs'",,"SE/PA: National Centre for Earth Obs'",,,,,,,,"Sue Atkinson (SAM45)",,"Pre-award Admin (Bid Development)","Pre-award Admin",,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,"2023-09-18 22:02",,,,,,,74571.30,74571.30,93964.98,93964.98,93214.13,93214.13,-19393.68,79.36,37527.89,50.32,33079.07,44.36,36376.64,93214.13,0.00,93214.13,0.00,93214.13,37043.41,37043.41,36376.64,93214.13,0.00,93214.13,0.00,93214.13,2000.00,0.00,0.00,17916.94,4448.81,12018.19,1449.94,39004.62,0.00,74571.30,74571.30,93964.98,93964.98,93214.13,93214.13,-19393.68,79.36,37527.89,50.32,33079.07,44.36,"2023-10-04 10:06:25",,Private,,"2023-08-23 16:01:36","Sophie Bricknell (SLB94)","2023-10-04 10:07"
"NERC CDT Minerals",TARGET,,535384,,,"Bid Awaiting Response",Locked,Pending,"Pre-award Admin",6,2024-04-01,2029-09-30,,"RO - Standard Research",Studentship,,"NERC NERC (Nat. Environment Res Coun)","NERC Default Scheme","Research Councils - NERC","Y6 Income - Outside the Scope",,,,,,,"2023-07-27 14:40",,"2023-10-04 10:04",,"2024-10-03 00:00",,,"Daniel Smith (DJS40)",,"Alex Goddard (AJG29),Clare Edwards (CEE18)","Only people involved in this project",,,Yes,,,,,"SE/GE: Geology",,"SE/GE: Geology","SE/GE: Geology",,"SE/GE: Geology",,,,,,,,,,"Pre-award Admin (Bid Development)","Pre-award Admin",,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,"2023-07-27 10:52",,,,,,,603364.37,603364.37,818395.69,818395.69,693344.87,693344.87,-215031.32,73.73,-215031.32,-35.64,-215031.32,-35.64,693344.87,693344.87,0.00,693344.87,0.00,693344.87,818395.69,818395.69,693344.87,693344.87,0.00,693344.87,0.00,693344.87,84769.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,603364.37,603364.37,818395.69,818395.69,693344.87,693344.87,-215031.32,73.73,-215031.32,-35.64,-215031.32,-35.64,"2023-10-04 10:04:14",,Private,,"2023-04-11 12:43:00","Daniel Smith (DJS40)","2023-10-04 10:37"
